
─── Fold 0/92 ───
[fold 0] epoch   10 | train  121.56 | val  122.02 | rotLSD  23.47
[fold 0] epoch  870 | train    0.71 | val    0.87 | rotLSD   0.48
[fold 0] epoch  880 | train    0.71 | val    0.87 | rotLSD   0.48
[fold 0] epoch  890 | train    0.71 | val    0.87 | rotLSD   0.48
[fold 0] epoch  900 | train    0.71 | val    0.86 | rotLSD   0.48
[fold 0] epoch  910 | train    0.71 | val    0.87 | rotLSD   0.49
[fold 0] epoch  920 | train    0.71 | val    0.87 | rotLSD   0.48
[fold 0] epoch  930 | train    0.70 | val    0.87 | rotLSD   0.49
[fold 0] epoch  940 | train    0.71 | val    0.87 | rotLSD   0.47
[fold 0] epoch  950 | train    0.71 | val    0.87 | rotLSD   0.48
[fold 0] epoch  960 | train    0.71 | val    0.87 | rotLSD   0.47
[fold 0] epoch  970 | train    0.71 | val    0.87 | rotLSD   0.49
[fold 0] epoch  980 | train    0.71 | val    0.87 | rotLSD   0.48
[fold 0] epoch  990 | train    0.71 | val    0.87 | rotLSD   0.47
[fold 0] epoch 1000 | train    0.70 | val    0.87 | rotLSD   0.48

─── Fold 1/92 ───
[fold 1] epoch   10 | train  121.34 | val  122.27 | rotLSD  22.70
[fold 1] epoch   20 | train  110.05 | val  110.79 | rotLSD  19.63
[fold 1] epoch   30 | train   97.64 | val   98.43 | rotLSD  16.49
[fold 1] epoch   40 | train   84.98 | val   85.56 | rotLSD  14.16
[fold 1] epoch   50 | train   72.14 | val   72.61 | rotLSD  11.18
[fold 1] epoch   60 | train   59.67 | val   60.08 | rotLSD   8.89
[fold 1] epoch   70 | train   48.06 | val   48.39 | rotLSD   7.51
[fold 1] epoch   80 | train   37.60 | val   37.88 | rotLSD   6.14
[fold 1] epoch   90 | train   28.64 | val   28.81 | rotLSD   5.04
[fold 1] epoch  100 | train   21.13 | val   21.29 | rotLSD   4.08
[fold 1] epoch  110 | train   15.23 | val   15.32 | rotLSD   3.32
[fold 1] epoch  120 | train   10.75 | val   10.77 | rotLSD   2.63
[fold 1] epoch  130 | train    7.48 | val    7.46 | rotLSD   2.07
[fold 1] epoch  140 | train    5.21 | val    5.17 | rotLSD   1.69
[fold 1] epoch  150 | train    3.71 | val    3.66 | rotLSD   1.34
[fold 1] epoch  160 | train    2.77 | val    2.69 | rotLSD   1.09
[fold 1] epoch  170 | train    2.17 | val    2.09 | rotLSD   0.94
[fold 1] epoch  180 | train    1.77 | val    1.72 | rotLSD   0.84
[fold 1] epoch  190 | train    1.49 | val    1.47 | rotLSD   0.76
[fold 1] epoch  200 | train    1.28 | val    1.30 | rotLSD   0.68
[fold 1] epoch  210 | train    1.16 | val    1.21 | rotLSD   0.64
[fold 1] epoch  220 | train    1.07 | val    1.13 | rotLSD   0.61
[fold 1] epoch  230 | train    1.00 | val    1.10 | rotLSD   0.58
[fold 1] epoch  240 | train    0.97 | val    1.08 | rotLSD   0.61
[fold 1] epoch  250 | train    0.94 | val    1.07 | rotLSD   0.60
[fold 1] epoch  260 | train    0.91 | val    1.02 | rotLSD   0.56
[fold 1] epoch  270 | train    0.88 | val    1.03 | rotLSD   0.57
[fold 1] epoch  280 | train    0.87 | val    1.03 | rotLSD   0.56
[fold 1] epoch  290 | train    0.86 | val    1.04 | rotLSD   0.59
[fold 1] epoch  300 | train    0.85 | val    1.08 | rotLSD   0.57
[fold 1] epoch  310 | train    0.83 | val    1.04 | rotLSD   0.58
