
─── Fold 0/92 ───
[fold 0] epoch  870 | train    0.91 | val    1.06 | rotLSD   0.53
[fold 0] epoch  880 | train    0.90 | val    1.05 | rotLSD   0.57
[fold 0] epoch  890 | train    0.91 | val    1.05 | rotLSD   0.55
[fold 0] epoch  900 | train    0.91 | val    1.06 | rotLSD   0.52
[fold 0] epoch  910 | train    0.91 | val    1.05 | rotLSD   0.57
[fold 0] epoch  920 | train    0.91 | val    1.05 | rotLSD   0.57
[fold 0] epoch  930 | train    0.90 | val    1.05 | rotLSD   0.57
[fold 0] epoch  940 | train    0.91 | val    1.05 | rotLSD   0.58
[fold 0] epoch  950 | train    0.91 | val    1.05 | rotLSD   0.54
[fold 0] epoch  960 | train    0.91 | val    1.05 | rotLSD   0.55
[fold 0] epoch  970 | train    0.90 | val    1.05 | rotLSD   0.56
[fold 0] epoch  980 | train    0.90 | val    1.05 | rotLSD   0.56
[fold 0] epoch  990 | train    0.90 | val    1.05 | rotLSD   0.53
[fold 0] epoch 1000 | train    0.91 | val    1.05 | rotLSD   0.56

─── Fold 1/92 ───
[fold 1] epoch   10 | train   46.53 | val   19.05 | rotLSD   3.34
[fold 1] epoch   20 | train   11.55 | val    4.60 | rotLSD   1.28
[fold 1] epoch   30 | train    2.42 | val    1.96 | rotLSD   0.80
[fold 1] epoch   40 | train    1.93 | val    1.79 | rotLSD   0.78
[fold 1] epoch   50 | train    1.78 | val    1.76 | rotLSD   0.77
[fold 1] epoch   60 | train    1.67 | val    1.81 | rotLSD   0.78
[fold 1] epoch   70 | train    1.62 | val    1.68 | rotLSD   0.75
[fold 1] epoch   80 | train    1.57 | val    1.64 | rotLSD   0.75
[fold 1] epoch   90 | train    1.52 | val    1.63 | rotLSD   0.75
[fold 1] epoch  100 | train    1.48 | val    1.53 | rotLSD   0.73
[fold 1] epoch  110 | train    1.42 | val    1.50 | rotLSD   0.72
[fold 1] epoch  120 | train    1.37 | val    1.46 | rotLSD   0.70
[fold 1] epoch  130 | train    1.30 | val    1.36 | rotLSD   0.68
[fold 1] epoch  140 | train    1.25 | val    1.26 | rotLSD   0.63
[fold 1] epoch  150 | train    1.21 | val    1.24 | rotLSD   0.65
[fold 1] epoch  160 | train    1.18 | val    1.21 | rotLSD   0.63
[fold 1] epoch  170 | train    1.15 | val    1.24 | rotLSD   0.64
[fold 1] epoch  180 | train    1.14 | val    1.22 | rotLSD   0.65
[fold 1] epoch  190 | train    1.12 | val    1.15 | rotLSD   0.62
[fold 1] epoch  200 | train    1.10 | val    1.14 | rotLSD   0.58
[fold 1] epoch  210 | train    1.09 | val    1.16 | rotLSD   0.63
[fold 1] epoch  220 | train    1.07 | val    1.11 | rotLSD   0.60
[fold 1] epoch  230 | train    1.06 | val    1.10 | rotLSD   0.60
[fold 1] epoch  240 | train    1.05 | val    1.12 | rotLSD   0.60
[fold 1] epoch  250 | train    1.04 | val    1.12 | rotLSD   0.61
[fold 1] epoch  260 | train    1.03 | val    1.11 | rotLSD   0.61
[fold 1] epoch  270 | train    1.04 | val    1.19 | rotLSD   0.63
[fold 1] epoch  280 | train    1.03 | val    1.08 | rotLSD   0.58
[fold 1] epoch  290 | train    1.01 | val    1.06 | rotLSD   0.59
[fold 1] epoch  300 | train    1.01 | val    1.12 | rotLSD   0.60
[fold 1] epoch  310 | train    1.00 | val    1.04 | rotLSD   0.54
[fold 1] epoch  320 | train    1.01 | val    1.03 | rotLSD   0.56
[fold 1] epoch  330 | train    0.99 | val    1.06 | rotLSD   0.60
[fold 1] epoch  340 | train    0.99 | val    1.00 | rotLSD   0.57
